"","ClimVar","PVGr","PVDBK","PVMort","PHGr","PHDBK","PHMort","SFGr","SFDBK","SFMort","SOGr","SODBK","SOMort"
"52","DD.0.at",2.29512903015569e-05,0.000201903595946103,0.000919605390833863,6.02698673531857e-05,0.000536382171793571,0.00393293014419277,6.01463608865566e-05,0.00068025827726559,0.000472414486519064,0.000680605507552939,0.000196656346315124,0.000859409410881185
"53","DD.5.wt",0.000178040024660392,0.000266773466854927,0.000460796662838136,0.00129550726523848,0.00040285842263781,0.000921629909228085,3.34312346090415e-05,0.00113073606141689,0.000147923042296517,0.000194723544119705,6.80430645408464e-05,1.43251138832053e-05
"54","DD.5.sp.y",3.48583858059732e-05,0.000514829612281125,0.00111747144794423,4.2396247320125e-05,0.000191633797593966,0.00171355718205693,7.61463656449603e-05,0.000511794904847335,0.000119027664074999,0.000239883765166244,5.84850640740809e-05,2.59322872925603e-05
"55","DD.5.sm",4.8931809963394e-05,0.00120385485645403,0.00509301913355762,2.03988792129731e-05,0.000101918946687951,0.000164614645287607,3.64624795058154e-05,0.000347171722424195,0.000707075998609759,4.39863616238368e-06,0.000310776293430107,0.000514079424488876
"56","DD.5.at",0.000232427803600076,0.000927633498883592,0.00291562115179872,0.000674990201903802,0.000453325202187465,0.000816208479609381,7.85004393396416e-06,0.000964405385135788,0.000632217018593767,0.000269240119138949,6.56661117906306e-06,0.000383877908402446
"57","DD.18.wt",4.79695113333248e-05,0.000233610270241411,0.000647567425734152,0.000740994289229262,0.00037853576817008,0.00166984382051541,1.92824991420089e-05,0.000981656117299994,0.00015945228755662,0.000184837930237054,0.000113889354197222,8.72326464841437e-05
"58","DD.18.sp",8.14746361469995e-06,0.000417178352008007,0.000914748719105309,2.7282729764913e-05,0.000224789967500339,0.00213366010638979,3.69589918552244e-05,0.000444862640800898,0.000144884606638151,0.000306065510630314,8.54653313589453e-05,3.50300540803798e-05
"59","DD.18.sm",6.99886490097504e-06,0.000750298306668054,0.00198505102740434,1.70892149254594e-05,0.000324056856854036,0.0017546622454263,4.5302204692336e-05,7.8242510793755e-05,0.0014826714847422,8.52563780155052e-05,0.000119065172844891,0.000484322604159658
"60","DD.18.at",0.000107860575768119,0.00071642470142134,0.00196743556654031,0.000611144321289116,0.000548565467944219,0.00147891798776771,4.17518137938593e-05,0.000920626162670674,0.000612349874839002,0.000454035113839274,1.14692203696883e-06,0.000478432982861596
"61","DD.18.wt.1",0.00216089565585773,0.000211424492892599,0.000512363568525845,0.000348665919723722,0.000489537215339658,0.00300854290324658,0.000214426068111468,0.000695785996575058,0.000787101814506775,0.00387376577606807,5.78411623207609e-06,0.000930877919831304
"62","DD.18.sp.1",0.000155885957389908,0.000715481133273719,0.00727072799839527,0.000242807483331199,0.000261424501770832,0.00380125922810763,0.00073449477782019,0.000462297258118537,0.000149488709880564,0.00196866836399301,6.76888046012433e-07,0.000161165668846658
"63","DD.18.sm.1",0.000140927534520412,0.00133211369025589,0.00681627691402001,1.82900855740686e-05,2.79361869761763e-05,3.03816137852929e-05,0.000163392573523577,0.000551677148743274,0.000345451870707548,6.3472405510568e-05,0.000399405704425499,0.000484988287797243
"64","DD.18.at.1",0.000426762310118286,0.00146056881218815,0.00691619713885442,0.000370016752531669,0.000225769275752697,0.00017107772072699,5.93561920367023e-05,0.000826104664466994,0.000714499778105847,2.57249616086452e-05,0.000145759444477764,0.000321105329908984
"65","NFFD.wt",3.10944992152432e-05,1.3553936830483e-05,0.000140184151098864,0.000848044375113224,0.000281365016654451,0.00296605231415347,1.82522335304982e-06,0.000456625379027799,2.5849437187277e-05,3.89800982003628e-05,0.000115486018150655,5.65562219670757e-05
"66","NFFD.sp",0.000129971746383125,2.26307949999513e-06,4.52172141200064e-05,0.000144900847285544,0.000134745320569095,0.00328706955652858,6.67361848286434e-06,2.79648601259792e-05,2.07956005583729e-05,2.25178390036448e-06,4.73563350482716e-05,0.000424567368015168
"67","NFFD.sm",0.000257955300258653,0.000706600785788526,9.02676630332838e-05,0.00102992718978975,0.000180970230052254,0.00555721700045854,0.000116295740117092,8.90989846296923e-05,0.000207558675043602,7.52768423973034e-05,5.84255340554541e-05,0.000290973505305218
"68","NFFD.at",0.000107961205744472,9.93456516887166e-05,0.00050378370341096,0.000580034200774004,0.000443335241318323,0.00516286497078554,2.66203313946553e-06,0.000445507151027956,8.1939841073262e-06,0.000103433495431941,7.08138994565702e-05,2.5739152092879e-06
"69","PAS.wt",7.83809728378453e-05,9.96810346800943e-05,0.000133948347926093,0.000167765204733458,0.000437577918155104,0.00505860834066855,6.33082634051625e-06,0.000201997669018011,0.000103622533793731,0.000121738785805862,0.000210817823510595,0.000131986084070087
"70","PAS.sp",0.000368948495900486,0.000139074535989713,0.000127005731029876,0.000437439448890926,0.000491759771372381,0.00531227248267214,2.27720156048558e-05,5.07781276047669e-05,7.77502620463293e-05,0.00023384956379748,0.000372115567254393,5.33765967604824e-05
"71","PAS.sm",0,0,0,0,0,0,0,0,0,0,0,0
"72","PAS.at",0.000108463063942849,1.56995597374407e-05,0.000392302516153431,0.000155583272230054,0.000755888056166016,0.0047745780138149,6.13975946987258e-05,0.000381759000872026,0.000184958874033147,0.000337627954289987,0.000168027582887979,0.000134141489465058
"73","Eref.wt",0.000783853453025098,0.000987495698586124,0.00201213685145936,0.000438280032449587,0.000132388732764113,5.48922960294026e-07,3.04588402278956e-05,0.00141621504756337,0.000954352847290793,0.000224299971977596,7.30890078984016e-05,0.00112827845296337
"74","Eref.sp",0.000432652586631677,0.000996948726924183,0.00246373468180346,3.6171358073181e-05,0.000144110167264912,0.000223101976696334,2.03650979465568e-06,0.000602812040164036,0.00127278172721615,0.000359257986784712,5.06576707540542e-05,0.00103411255808871
"75","Eref.sm",0.000521854938630316,0.00117378812353585,0.00261204009002777,2.51951318857617e-07,5.59051678574652e-05,8.1155515616918e-05,1.72633876150904e-06,0.000106243885206862,0.0022016950198612,9.31292394609938e-06,4.39708305473909e-05,0.00183555287902866
"76","Eref.at",0.000908333885228203,0.00117496551948596,0.00282092125914665,0.000284589629267236,0.000152267096083651,5.62683697975792e-06,6.25767333645792e-06,0.000858050913547347,0.00157581643566567,0.00018296284773348,2.13647930875511e-05,0.00158191316250764
"77","CMD.wt",0,0,0,0,0,0,0,0,0,0,0,0
"78","CMD.sp",0.000468569097269704,0.0011304169276114,0.00398789994965344,1.11505604158433e-07,7.78843149627456e-05,0.000327518097230724,0.000445162226516385,0.000848886871233504,2.79845321342791e-05,0.000459754724033036,0.000100547347282965,0.000265067042961578
"79","CMD.sm",0.000415689044585551,0.00107665507013318,0.00266281997298869,1.5144169026864e-06,7.77143469844436e-05,1.71740942980973e-05,3.33520797332223e-05,0.000446906506932119,0.00100198719564954,2.04764047905442e-05,2.78111999754565e-08,0.00192319366863542
"80","CMD.at",0.000821980133592951,0.00112327746217272,0.00292891788189158,6.53668264681014e-05,5.72926170173587e-05,4.1661146544395e-05,2.79877368690406e-05,0.000889540496991988,0.000295766062139409,0.000370613026405107,7.32232816034438e-05,0.000894373296218281
"81","RH.wt",0.000763078422890374,0.000815546764085017,0.00123978529286644,0.000153066400568459,1.38800924267163e-06,0.000701821906575191,1.06673056172913e-05,0.000497379152696147,0.00158820021491202,4.77474614840446e-05,5.38910722345251e-05,0.00261706149731282
"82","RH.sp",0.00032625931409397,0.00059174835046354,0.00126071388115713,0.000164299109851456,4.55605619651632e-05,2.48802590047979e-05,2.47452301650562e-10,8.77619998414742e-05,0.0016723982095326,0.000323168128702845,3.16815740664959e-05,0.00156905072219733
"83","RH.sm",0.000749713645347345,0.000715153645712116,0.000410143318926688,5.47284811058458e-05,6.8480470723261e-06,0.000108470824272052,5.29264053518728e-06,0.00010899131948182,0.00350029047801068,8.01083722380055e-07,1.34786598120227e-08,0.00230798107213324
"84","RH.at",0.00100800395828495,0.000762973177941903,0.000984798031275499,2.07594776363334e-05,6.92437660067933e-06,0.000153007293529582,6.18967401791869e-09,0.000135180408704614,0.00229016802396425,6.94654547200519e-05,0.000108133190359482,0.00257983424449081
