"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1823","SO","WIVA","ZE","ZE6","2","4","4","31","276.037350928908","-182.5228541","905","118","93.284262369","17.7","73","2000","12"
"1824","SO","CORA","SC","SC4","2","3","4","39","601.885496396126","562.173197","914","-28","346.484262369","19.9","24","1122","12"
"1825","SO","PULO","FW","FW3","2","3","1","15","535.254786832285","-209.0350518","734","107","94.684262369","20.4","72","2066","12"
"1826","SO","CSCO","SR","SR3","2","5","1","37","508.405965748811","-302.93960765","434","-62","790.084262369","33.5","20","945","12"
"1827","SO","SRNA","SN","SN3","2","2","4","36","409.922926606274","134.3377691","856","-4","316.084262369","22.4","28","983","12"
"1828","SO","PULO","BR","BR7","2","3","1","31","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1829","SO","WIVA","AK","AK9","2","3","1","44","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"1830","SO","CSCO","CA","CA3","2","2","1","32","441.653031908936","-164.6910296","733","-45","545.284262369","24.3","25","967","12"
"1831","SO","PULO","VI","VI4","2","4","1","18","662.852561489434","-217.79876816","611","55","121.084262369","22.3","81","2302","12"
"1832","SO","PULO","CB","CB1","2","4","1","49","682.469977493717","-267.55292052","640","138","76.584262369","21.7","80","2257","12"
"1833","SO","PULO","BR","BR7","2","4","2","31","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1834","SO","PULO","BC","BC8","2","3","1","50","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"1835","SO","CORA","LA","LA5","2","1","2","44","600.151530340138","137","774","-33","378.784262369","22.9","20","983","12"
"1836","SO","CSCO","RV","RV8","2","2","1","39","365.363298534749","-35.7449546","719","-32","418.384262369","24.3","28","1104","12"
"1837","SO","PULO","VI","VI5","2","2","1","20","660.627031066836","-276.80656445","581","53","122.984262369","23.2","74","2234","12"
"1838","SO","PULO","PA","PA4","2","1","1","27","618.423019087969","-237.14330959","589","44","121.384262369","22.2","84","2476","12"
"1839","SO","CSCO","RV","RV8","1","4","1","46","365.363298534749","-35.7449546","719","-32","418.384262369","24.3","28","1104","12"
"1840","SO","WIVA","WL","WL8","1","4","1","32","316.332113985251","-199.2963772","807","103","102.884262369","19.7","66","1879","12"
"1841","SO","WIVA","WL","WL3","1","5","4","44","316.332113985251","-199.2963772","807","103","102.884262369","19.7","66","1879","12"
"1842","SO","WIVA","WV","WV2","2","1","1","27","317.85200425481","-225.63211615","801","103","103.084262369","19.8","65","1870","12"
"1843","SO","KLMT","KLc","KL13","2","3","1","29","135.577219256292","867","979","21","201.684262369","16.5","117","2230","12"
"1844","SO","SRNA","SN","SN2","2","2","2","39","399.036739178814","238","1177","12","254.684262369","17.1","33","1132","12"
"1845","SO","PULO","CR","CR4","2","3","1","34","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1846","SO","CORA","BA","BA3","2","6","1","50","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"1847","SO","CSCO","CC","CC4","2","3","1","37","509.598170347626","-288","448","-60","725.084262369","32.7","20","965","12"
"1848","SO","WIVA","AK","AK9","2","4","2","42","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"1849","SO","SRNA","PL","PL11","2","4","1","18","479.608483278082","585.904047","810","2","284.784262369","22.4","39","1253","12"
"1850","SO","SRNA","SN","SN1","2","4","1","47","400.518984434705","149.7435315","1126","6","277.784262369","17.9","31","1053","12"
"1851","SO","CSCD","PF","PF2","2","3","1","24","485.403002988069","128.4071987","858","152","72.684262369","17.1","108","2483","12"
"1852","SO","PULO","KM","KM1","2","2","1","47","532.781532114339","-236.916507","925","101","98.384262369","17.3","71","2046","12"
"1853","SO","CORA","LA","LA10","2","3","1","38","590.365419630457","341.3028825","727","-31","362.484262369","23.6","22","1085","12"
"1854","SO","CSCO","CC","CC2","2","4","4","37","509.638057216889","-279.25177662","444","-61","728.484262369","32.9","20","965","12"
"1855","SO","PULO","KM","KM10","2","1","2","46","532.614924024217","-227.59566572","924","101","98.084262369","17.3","71","2052","12"
"1856","SO","CSCO","CC","CC7","2","2","1","32","509.563109555359","-294.47171558","435","-61","738.084262369","33.3","20","964","12"
"1857","SO","KLMT","BK","BK5","2","4","4","41","84.1735445201019","200.8684462","2726","283","50.384262369","7.4","43","1678","12"
"1858","SO","KLMT","CP","CP24","2","3","1","51","25.0387376664524","432.5141535","1183","55","146.084262369","14.6","76","1992","12"
"1859","SO","CORA","BA","BA5","2","3","1","38","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"1860","SO","CORA","SA","SA5","2","1","1","27","623.363013235009","33.3402625","940","-29","336.784262369","19.8","18","951","12"
"1861","SO","KLMT","HC","HC1","2","5","1","25","251.344446219044","91.8283781","1216","17","202.284262369","15.5","34","1376","12"
"1862","SO","SRNA","SN","SN4","2","5","1","32","406.667007211178","244.7090392","983","3","285.184262369","19.9","30","1067","12"
"1863","SO","KLMT","CY","CY6","2","4","1","46","43.2650877727978","-49.9655697","541","32","175.784262369","26.3","67","1832","12"
"1864","SO","WIVA","VE","VE7","2","2","2","29","166.163328954154","-90.0013738","1225","70","122.784262369","14.1","68","1949","12"
"1865","SO","CORA","LA","LA8","2","3","4","37","591.831972324976","381.050928","724","-32","370.484262369","23.6","23","1109","12"
"1866","SO","CORA","LC","LC2","2","4","1","39","613.735456925223","-124.572292","1179","107","83.084262369","13.2","96","2558","12"
"1867","SO","CSCO","CA","CA4","1","5","1","39","441.652699782495","-162.2082502","734","-45","544.684262369","24.3","25","967","12"
"1868","SO","CORA","LA","LA5","2","2","1","31","600.151530340138","137","774","-33","378.784262369","22.9","20","983","12"
"1869","SO","PULO","FW","FW10","2","3","1","39","535.292333931539","-205.8244218","734","107","94.684262369","20.4","73","2067","12"
"1870","SO","CORA","SA","SA8","2","4","1","27","623.398598536242","49.0519038","947","-28","334.384262369","19.7","18","948","12"
"1871","SO","CORA","BA","BA3","2","7","4","27","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"1872","SO","CORA","SA","SA5","2","4","1","32","623.363013235009","33.3402625","940","-29","336.784262369","19.8","18","951","12"
"1873","SO","CSCO","BL","BL1","2","4","1","12","377.140814637393","103","767","-34","437.784262369","22.5","41","1360","12"
"1874","SO","PULO","BR","BR7","1","5","1","28","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1875","SO","CSCO","CC","CC4","2","4","4","35","509.598170347626","-288","448","-60","725.084262369","32.7","20","965","12"
"1876","SO","CSCO","SR","SR2","2","5","4","45","508.403555336462","-301.51549471","472","-61","746.384262369","32","20","928","12"
"1877","SO","KLMT","RA","RA8","2","5","1","53","76.8259384148475","505","3256","350","43.284262369","6.1","54","1867","12"
"1878","SO","CSCO","RV","RV8","2","5","1","29","365.363298534749","-35.7449546","719","-32","418.384262369","24.3","28","1104","12"
"1879","SO","CORA","GA","GA3","2","5","1","37","274.195572808128","-35.1828526","1251","3","229.584262369","15.1","35","1384","12"
"1880","SO","PULO","BR","BR7","2","5","4","23","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1881","SO","SRNA","SN","SN2","1","5","4","46","399.036739178814","238","1177","12","254.684262369","17.1","33","1132","12"
"1882","SO","CSCO","HP","HP1","1","5","1","27","394.104203231916","-4","717","-37","469.984262369","24.6","28","1066","12"
"1883","SO","WIVA","WV","WV2","2","5","1","24","317.85200425481","-225.63211615","801","103","103.084262369","19.8","65","1870","12"
"1884","SO","PULO","KM","KM1","3","1","1","23","532.781532114339","-236.916507","925","101","98.384262369","17.3","71","2046","12"
"1885","SO","CORA","GA","GA3","3","1","1","61","274.195572808128","-35.1828526","1251","3","229.584262369","15.1","35","1384","12"
"1886","SO","CSCO","SR","SR3","3","2","1","47","508.405965748811","-302.93960765","434","-62","790.084262369","33.5","20","945","12"
