Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SF,KLMT,HC,HC2,3,4,1,127,463.2168814,44.2300777,1196,-90,202.1041925,15.5,34,1550,14
SF,CSCO,HP,HP1,3,1,2,72,606.9847014,-55.5615504,697,-144,469.9041925,24.6,28,1240,14
SF,CSCO,HP,HP1,3,2,2,64,606.9847014,-55.5615504,697,-144,469.9041925,24.6,28,1240,14
SF,CSCO,HP,HP1,3,3,2,44,606.9847014,-55.5615504,697,-144,469.9041925,24.6,28,1240,14
SF,CSCO,HP,HP1,3,5,1,66,606.9847014,-55.5615504,697,-144,469.9041925,24.6,28,1240,14
SF,KLMT,KLa,KL10,3,1,1,79,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLa,KL10,3,2,2,65,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLa,KL10,3,3,1,56,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLa,KL10,3,4,2,87,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLa,KL10,3,5,1,63,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLa,KL10,3,6,1,1,279.3563572,624.6404129,1485,-45,136.8041925,11.6,90,2358,14
SF,KLMT,KLb,KL11,3,2,1,80,292.6246413,76.4384496,708,-103,244.7041925,21.3,89,2158,14
SF,KLMT,KLb,KL11,3,5,2,92,292.6246413,76.4384496,708,-103,244.7041925,21.3,89,2158,14
SF,KLMT,KLb,KL12,3,1,1,83,324.84588,124.4384496,1125,-90,225.4041925,16.4,52,1657,14
SF,KLMT,KLb,KL12,3,4,1,41,324.84588,124.4384496,1125,-90,225.4041925,16.4,52,1657,14
SF,KLMT,KLc,KL13,3,1,1,89,347.9667621,815.4384496,959,-86,201.6041925,16.5,117,2404,14
SF,KLMT,KLc,KL13,3,2,1,65,347.9667621,815.4384496,959,-86,201.6041925,16.5,117,2404,14
SF,KLMT,KLc,KL13,3,3,1,77,347.9667621,815.4384496,959,-86,201.6041925,16.5,117,2404,14
SF,KLMT,KLc,KL13,3,4,2,38,347.9667621,815.4384496,959,-86,201.6041925,16.5,117,2404,14
SF,KLMT,KLc,KL13,3,5,1,153,347.9667621,815.4384496,959,-86,201.6041925,16.5,117,2404,14
SF,KLMT,KLc,KL14,3,1,2,72,348.8992802,-57.5615504,1079,-81,218.0041925,17.7,40,1412,14
SF,KLMT,KLc,KL14,3,2,1,66,348.8992802,-57.5615504,1079,-81,218.0041925,17.7,40,1412,14
SF,KLMT,KLc,KL14,3,3,1,32,348.8992802,-57.5615504,1079,-81,218.0041925,17.7,40,1412,14
SF,KLMT,KLc,KL14,3,4,2,27,348.8992802,-57.5615504,1079,-81,218.0041925,17.7,40,1412,14
SF,KLMT,KLa,KL6,3,2,2,75,279.1583593,551.4698926,1447,-52,145.8041925,12,87,2301,14
SF,KLMT,KLa,KL6,3,3,2,115,279.1583593,551.4698926,1447,-52,145.8041925,12,87,2301,14
SF,KLMT,KLa,KL6,3,4,1,22,279.1583593,551.4698926,1447,-52,145.8041925,12,87,2301,14
SF,KLMT,KLa,KL6,3,5,1,54,279.1583593,551.4698926,1447,-52,145.8041925,12,87,2301,14
SF,KLMT,KLa,KL7,3,1,1,93,279.4060214,624.0975713,1485,-45,137.0041925,11.6,90,2358,14
SF,KLMT,KLa,KL7,3,3,2,126,279.4060214,624.0975713,1485,-45,137.0041925,11.6,90,2358,14
SF,KLMT,KLa,KL7,3,5,1,122,279.4060214,624.0975713,1485,-45,137.0041925,11.6,90,2358,14
SF,PULO,KM,KM1,3,1,2,68,322.6727257,-288.4780574,905,-6,98.30419248,17.3,71,2220,14
SF,PULO,KM,KM1,3,2,1,100,322.6727257,-288.4780574,905,-6,98.30419248,17.3,71,2220,14
SF,PULO,KM,KM10,3,1,1,49,322.5089934,-279.1572161,904,-6,98.00419248,17.3,71,2226,14
SF,PULO,KM,KM10,3,2,1,43,322.5089934,-279.1572161,904,-6,98.00419248,17.3,71,2226,14
SF,PULO,KM,KM10,3,3,1,112,322.5089934,-279.1572161,904,-6,98.00419248,17.3,71,2226,14
SF,PULO,KM,KM10,3,4,2,87,322.5089934,-279.1572161,904,-6,98.00419248,17.3,71,2226,14
SF,PULO,KM,KM10,3,5,1,43,322.5089934,-279.1572161,904,-6,98.00419248,17.3,71,2226,14
SF,CORA,LA,LA10,3,1,2,40,801.3617272,289.7413321,707,-138,362.4041925,23.6,22,1259,14
SF,CORA,LA,LA10,3,5,1,80,801.3617272,289.7413321,707,-138,362.4041925,23.6,22,1259,14
SF,CORA,LA,LA13,3,1,1,62,797.5505794,191.1936175,642,-143,397.8041925,25.4,21,1219,14
SF,CORA,LA,LA13,3,3,1,70,797.5505794,191.1936175,642,-143,397.8041925,25.4,21,1219,14
SF,CORA,LA,LA8,3,1,1,76,802.801778,329.4893776,704,-139,370.4041925,23.6,23,1283,14
SF,CORA,LA,LA8,3,2,2,77,802.801778,329.4893776,704,-139,370.4041925,23.6,23,1283,14
SF,CORA,LA,LA8,3,3,1,94,802.801778,329.4893776,704,-139,370.4041925,23.6,23,1283,14
SF,CORA,LA,LA8,3,4,1,82,802.801778,329.4893776,704,-139,370.4041925,23.6,23,1283,14
SF,CORA,LC,LC1,3,1,1,79,402.4534759,242.3547048,1011,-12,89.50419248,14.7,92,2680,14
SF,CORA,LC,LC1,3,2,1,85,402.4534759,242.3547048,1011,-12,89.50419248,14.7,92,2680,14
