"","Site","Block","Tree","Source","Name","cond","ht","Year"
"476","PH",2,5,"BC","BC6",1,75,12
"477","PH",2,1,"BC","BC8",1,52,12
"478","PH",2,2,"BC","BC8",1,28,12
"479","PH",2,3,"BC","BC8",1,62,12
"480","PH",2,4,"BC","BC8",1,66,12
"481","PH",2,5,"BC","BC8",2,53,12
"482","PH",2,1,"BK","BK2",1,47,12
"483","PH",2,2,"BK","BK2",1,51,12
"484","PH",2,3,"BK","BK2",1,45,12
"485","PH",2,4,"BK","BK2",2,49,12
"486","PH",2,5,"BK","BK2",1,46,12
"487","PH",2,1,"BK","BK3",1,26,12
"488","PH",2,3,"BK","BK3",1,88,12
"489","PH",2,4,"BK","BK3",1,30,12
"490","PH",2,5,"BK","BK3",1,45,12
"491","PH",2,1,"BK","BK5",1,37,12
"492","PH",2,3,"BK","BK5",1,51,12
"493","PH",2,4,"BK","BK5",1,69,12
"494","PH",2,1,"BL","BL1",1,52,12
"495","PH",2,2,"BL","BL1",1,64,12
"496","PH",2,3,"BL","BL1",1,48,12
"497","PH",2,4,"BL","BL1",1,35,12
"498","PH",2,5,"BL","BL1",1,47,12
"499","PH",2,1,"BL","BL2",1,59,12
"500","PH",2,2,"BL","BL2",1,56,12
"501","PH",2,3,"BL","BL2",1,61,12
"502","PH",2,4,"BL","BL2",1,43,12
"503","PH",2,5,"BL","BL2",1,39,12
"504","PH",2,1,"BL","BL3",1,45,12
"505","PH",2,2,"BL","BL3",1,44,12
"506","PH",2,3,"BL","BL3",1,43,12
"507","PH",2,4,"BL","BL3",1,43,12
"508","PH",2,5,"BL","BL3",1,39,12
"509","PH",2,1,"BR","BR3",1,61,12
"510","PH",2,3,"BR","BR3",1,60,12
"511","PH",2,4,"BR","BR3",1,53,12
"512","PH",2,5,"BR","BR3",1,24,12
"513","PH",2,1,"BR","BR7",1,65,12
"514","PH",2,2,"BR","BR7",1,55,12
"515","PH",2,3,"BR","BR7",1,57,12
"516","PH",2,4,"BR","BR7",1,32,12
"517","PH",2,5,"BR","BR7",1,40,12
"518","PH",2,1,"CA","CA3",1,57,12
"519","PH",2,2,"CA","CA3",1,32,12
"520","PH",2,3,"CA","CA3",1,70,12
"521","PH",2,4,"CA","CA3",1,51,12
"522","PH",2,1,"CA","CA4",1,60,12
"523","PH",2,2,"CA","CA4",1,68,12
"524","PH",2,3,"CA","CA4",1,47,12
"525","PH",2,1,"CB","CB1",1,38,12
"526","PH",2,2,"CB","CB1",1,38,12
"527","PH",2,3,"CB","CB1",1,62,12
"528","PH",2,4,"CB","CB1",1,45,12
"529","PH",2,5,"CB","CB1",1,36,12
"530","PH",2,1,"CC","CC2",1,48,12
"531","PH",2,2,"CC","CC2",1,35,12
"532","PH",2,3,"CC","CC2",1,69,12
"533","PH",2,4,"CC","CC2",1,38,12
"534","PH",2,5,"CC","CC2",1,46,12
"535","PH",2,1,"CC","CC4",1,51,12
"536","PH",2,2,"CC","CC4",1,60,12
"537","PH",2,3,"CC","CC4",1,57,12
"538","PH",2,4,"CC","CC4",1,45,12
"539","PH",2,5,"CC","CC4",1,57,12
"540","PH",2,1,"CC","CC7",1,41,12
"541","PH",2,2,"CC","CC7",1,30,12
"542","PH",2,3,"CC","CC7",1,61,12
"543","PH",2,5,"CC","CC7",1,42,12
"544","PH",2,1,"CL","CL1",1,26,12
"545","PH",2,2,"CL","CL1",1,28,12
"546","PH",2,3,"CL","CL1",1,43,12
"547","PH",2,4,"CL","CL1",1,36,12
"548","PH",2,5,"CL","CL1",1,57,12
"549","PH",2,1,"CP","CP24",1,33,12
"550","PH",2,2,"CP","CP24",1,41,12
"551","PH",2,3,"CP","CP24",1,55,12
"552","PH",2,4,"CP","CP24",1,30,12
"553","PH",2,5,"CP","CP24",1,30,12
"554","PH",2,1,"CP","CP26",1,58,12
"555","PH",2,2,"CP","CP26",1,57,12
"556","PH",2,3,"CP","CP26",1,68,12
"557","PH",2,4,"CP","CP26",2,39,12
"558","PH",2,5,"CP","CP26",2,36,12
"559","PH",2,1,"CP","CP9",1,59,12
"560","PH",2,2,"CP","CP9",1,66,12
"561","PH",2,3,"CP","CP9",1,63,12
"562","PH",2,4,"CP","CP9",1,39,12
"563","PH",2,5,"CP","CP9",1,57,12
"564","PH",2,1,"CR","CR2",2,49,12
"565","PH",2,2,"CR","CR2",1,46,12
"566","PH",2,3,"CR","CR2",1,55,12
"567","PH",2,4,"CR","CR2",1,32,12
"568","PH",2,5,"CR","CR2",1,60,12
"569","PH",2,1,"CR","CR3",1,66,12
"570","PH",2,2,"CR","CR3",1,55,12
"571","PH",2,3,"CR","CR3",1,60,12
"572","PH",2,4,"CR","CR3",1,54,12
"573","PH",2,5,"CR","CR3",1,61,12
"574","PH",2,1,"CR","CR4",1,53,12
"575","PH",2,2,"CR","CR4",1,62,12
"576","PH",2,3,"CR","CR4",1,46,12
